student_id,stage,timestamp,duration_sec,success,age,gender,school_type,device,prior_engagement_score,sessions_count,avg_session_duration_min,completed_application
a0f598c0,Login,2025-01-01,100,1,17,F,State,Desktop,35.83495848172249,13,7.9339396848636055,1
a0f598c0,Browse_Courses,2025-01-01,100,1,17,F,State,Desktop,35.83495848172249,13,7.9339396848636055,1
a0f598c0,View_Details,2025-01-01,100,1,17,F,State,Desktop,35.83495848172249,13,7.9339396848636055,1
a0f598c0,Start_Application,2025-01-01,100,1,17,F,State,Desktop,35.83495848172249,13,7.9339396848636055,1
a0f598c0,Complete_Application,2025-01-01,100,1,17,F,State,Desktop,35.83495848172249,13,7.9339396848636055,1
77ace0da,Login,2025-01-01,100,1,18,M,State,Mobile,46.2015274433077,9,11.376343283695398,1
77ace0da,Browse_Courses,2025-01-01,100,1,18,M,State,Mobile,46.2015274433077,9,11.376343283695398,1
77ace0da,View_Details,2025-01-01,100,1,18,M,State,Mobile,46.2015274433077,9,11.376343283695398,1
77ace0da,Start_Application,2025-01-01,100,1,18,M,State,Mobile,46.2015274433077,9,11.376343283695398,1
77ace0da,Complete_Application,2025-01-01,100,1,18,M,State,Mobile,46.2015274433077,9,11.376343283695398,1
93518e1b,Login,2025-01-01,100,1,16,F,State,Mobile,57.77732199752656,13,20.403386174730095,1
93518e1b,Browse_Courses,2025-01-01,100,1,16,F,State,Mobile,57.77732199752656,13,20.403386174730095,1
93518e1b,View_Details,2025-01-01,100,1,16,F,State,Mobile,57.77732199752656,13,20.403386174730095,1
93518e1b,Start_Application,2025-01-01,100,1,16,F,State,Mobile,57.77732199752656,13,20.403386174730095,1
93518e1b,Complete_Application,2025-01-01,100,1,16,F,State,Mobile,57.77732199752656,13,20.403386174730095,1
e8e5b81e,Login,2025-01-01,100,1,18,F,State,Desktop,46.70002447973438,12,13.943743916682244,1
e8e5b81e,Browse_Courses,2025-01-01,100,1,18,F,State,Desktop,46.70002447973438,12,13.943743916682244,1
e8e5b81e,View_Details,2025-01-01,100,1,18,F,State,Desktop,46.70002447973438,12,13.943743916682244,1
e8e5b81e,Start_Application,2025-01-01,100,1,18,F,State,Desktop,46.70002447973438,12,13.943743916682244,1
e8e5b81e,Complete_Application,2025-01-01,100,1,18,F,State,Desktop,46.70002447973438,12,13.943743916682244,1
d22cffeb,Login,2025-01-01,100,1,18,F,Private,Mobile,47.76612343171275,9,7.3653438961057045,0
d22cffeb,Browse_Courses,2025-01-01,100,1,18,F,Private,Mobile,47.76612343171275,9,7.3653438961057045,0
d22cffeb,View_Details,2025-01-01,100,1,18,F,Private,Mobile,47.76612343171275,9,7.3653438961057045,0
32a8a1d3,Login,2025-01-01,100,1,15,M,State,Mobile,54.75206005385344,4,19.325558623163158,1
32a8a1d3,Browse_Courses,2025-01-01,100,1,15,M,State,Mobile,54.75206005385344,4,19.325558623163158,1
32a8a1d3,View_Details,2025-01-01,100,1,15,M,State,Mobile,54.75206005385344,4,19.325558623163158,1
32a8a1d3,Start_Application,2025-01-01,100,1,15,M,State,Mobile,54.75206005385344,4,19.325558623163158,1
32a8a1d3,Complete_Application,2025-01-01,100,1,15,M,State,Mobile,54.75206005385344,4,19.325558623163158,1
28eb3443,Login,2025-01-01,100,1,16,M,State,Mobile,69.7437199746926,8,20.37191772565418,1
28eb3443,Browse_Courses,2025-01-01,100,1,16,M,State,Mobile,69.7437199746926,8,20.37191772565418,1
28eb3443,View_Details,2025-01-01,100,1,16,M,State,Mobile,69.7437199746926,8,20.37191772565418,1
28eb3443,Start_Application,2025-01-01,100,1,16,M,State,Mobile,69.7437199746926,8,20.37191772565418,1
28eb3443,Complete_Application,2025-01-01,100,1,16,M,State,Mobile,69.7437199746926,8,20.37191772565418,1
aaba7b5f,Login,2025-01-01,100,1,16,F,State,Mobile,54.859233346827835,6,12.324913952824197,1
aaba7b5f,Browse_Courses,2025-01-01,100,1,16,F,State,Mobile,54.859233346827835,6,12.324913952824197,1
aaba7b5f,View_Details,2025-01-01,100,1,16,F,State,Mobile,54.859233346827835,6,12.324913952824197,1
aaba7b5f,Start_Application,2025-01-01,100,1,16,F,State,Mobile,54.859233346827835,6,12.324913952824197,1
aaba7b5f,Complete_Application,2025-01-01,100,1,16,F,State,Mobile,54.859233346827835,6,12.324913952824197,1
c6ec75a6,Login,2025-01-01,100,1,16,F,State,Mobile,76.17639291709419,12,15.490790122649894,1
c6ec75a6,Browse_Courses,2025-01-01,100,1,16,F,State,Mobile,76.17639291709419,12,15.490790122649894,1
c6ec75a6,View_Details,2025-01-01,100,1,16,F,State,Mobile,76.17639291709419,12,15.490790122649894,1
c6ec75a6,Start_Application,2025-01-01,100,1,16,F,State,Mobile,76.17639291709419,12,15.490790122649894,1
c6ec75a6,Complete_Application,2025-01-01,100,1,16,F,State,Mobile,76.17639291709419,12,15.490790122649894,1
ab54cf89,Login,2025-01-01,100,1,18,M,Private,Desktop,45.03363326010968,12,10.387415448431046,0
ab54cf89,Browse_Courses,2025-01-01,100,1,18,M,Private,Desktop,45.03363326010968,12,10.387415448431046,0
ab54cf89,View_Details,2025-01-01,100,1,18,M,Private,Desktop,45.03363326010968,12,10.387415448431046,0
1a73711e,Login,2025-01-01,100,1,17,M,State,Mobile,41.22116609289821,6,6.238100592704219,1
1a73711e,Browse_Courses,2025-01-01,100,1,17,M,State,Mobile,41.22116609289821,6,6.238100592704219,1
1a73711e,View_Details,2025-01-01,100,1,17,M,State,Mobile,41.22116609289821,6,6.238100592704219,1
1a73711e,Start_Application,2025-01-01,100,1,17,M,State,Mobile,41.22116609289821,6,6.238100592704219,1
1a73711e,Complete_Application,2025-01-01,100,1,17,M,State,Mobile,41.22116609289821,6,6.238100592704219,1
3311078b,Login,2025-01-01,100,1,16,M,State,Desktop,88.89518108581701,5,11.023483146974508,1
3311078b,Browse_Courses,2025-01-01,100,1,16,M,State,Desktop,88.89518108581701,5,11.023483146974508,1
3311078b,View_Details,2025-01-01,100,1,16,M,State,Desktop,88.89518108581701,5,11.023483146974508,1
3311078b,Start_Application,2025-01-01,100,1,16,M,State,Desktop,88.89518108581701,5,11.023483146974508,1
